client_id,total_billed,total_hours,invoice_count
CLI0001,29122966.09,10610.99,319
CLI0002,195569.91,3660.56,108
CLI0003,899382.52,17013.46,529
CLI0004,6735120.58,2374.6,85
CLI0005,378510.15,6147.33,188
CLI0006,1087522.13,17263.46,520
CLI0007,19934474.62,6956.83,211
CLI0008,654476.12,10455.27,319
CLI0009,253567.48,3512.27,116
CLI0010,449902.64,6094.44,185
CLI0011,43704646.84,15603.24,478
CLI0012,1211493.81,16753.3,519
CLI0013,692137.69,10815.96,338
CLI0014,468372.31,7452.8,216
CLI0015,958377.88,15477.03,511
CLI0016,1034030.11,16660.62,492
CLI0017,500771.09,9472.01,285
CLI0018,60214610.76,20840.91,637
CLI0019,34384784.6,11939.789999999999,374
CLI0020,316227.14,6024.72,190
CLI0021,16917051.78,5708.12,186
CLI0022,25386348.36,9146.84,276
CLI0024,843930.64,13596.49,431
CLI0025,505758.12,6886.75,212
CLI0026,1103900.3,17342.4,551
CLI0027,224144.52,3021.93,101
CLI0028,36655812.46,12972.39,403
CLI0030,889066.47,16854.2,510
CLI0031,176928.77,3363.7400000000002,100
CLI0032,41639458.48,15164.25,490
CLI0033,173009.73,2866.51,101
CLI0035,801314.32,12815.31,390
CLI0036,495201.0,6852.25,211
CLI0037,175408.72,2840.38,88
CLI0038,29424824.37,10418.55,326
CLI0039,742992.73,14610.99,443
CLI0040,9530214.85,3381.45,100
CLI0041,797790.65,12955.02,393
CLI0042,610434.45,10008.24,294
CLI0043,80578761.9,28153.91,909
CLI0044,1638599.89,26472.95,806
CLI0045,707937.46,13380.16,416
CLI0046,21497424.87,7356.0,229
CLI0048,515063.52,9715.49,285
CLI0049,477619.08,6579.43,205
CLI0050,596856.56,9450.46,299
CLI0051,8516575.45,3130.1,92
CLI0052,181883.22,2967.37,94
CLI0053,430554.14,5948.14,180
CLI0054,554860.49,8903.5,272
CLI0055,454875.01,6142.22,186
CLI0056,987346.67,19029.14,602
CLI0057,25494382.53,9361.93,305
CLI0058,178995.1,2897.88,91
CLI0059,1035913.76,19620.6,588
CLI0060,501373.59,9604.18,300
CLI9999,246672.93,595.36,15
